PLOSPaperID,round,decision_date,response_date,duration_days,stage_type
pbio.3000329,1,2019-07-08,2019-10-10,94,author_revision
pbio.3000329,2,2019-11-06,2019-11-22,16,author_revision
pbio.3000361,1,2019-07-09,2019-11-20,134,author_revision
pbio.3000361,2,2019-12-16,2020-01-16,31,author_revision
pbio.3000364,1,2019-07-08,2019-07-14,6,author_revision
pbio.3000429,1,2019-08-28,2019-09-29,32,author_revision
pbio.3000429,2,2019-10-14,2019-10-21,7,author_revision
pbio.3000433,1,2019-09-06,2019-09-24,18,author_revision
pbio.3000435,1,2019-08-22,2019-11-20,90,author_revision
pbio.3000435,2,2019-12-20,2020-02-03,45,author_revision
pbio.3000443,1,2019-06-25,2019-07-25,30,author_revision
pbio.3000456,1,2019-08-12,2019-09-10,29,author_revision
pbio.3000460,1,2019-07-02,2019-08-09,38,author_revision
pbio.3000460,2,2019-08-13,2019-09-04,22,author_revision
pbio.3000462,1,2019-09-25,2019-12-28,94,author_revision
pbio.3000462,2,2020-01-31,2020-04-21,81,author_revision
pbio.3000462,3,2020-05-13,2020-06-24,42,author_revision
pbio.3000465,1,2019-09-18,2020-01-20,124,author_revision
pbio.3000465,2,2020-02-16,2020-03-17,30,author_revision
pbio.3000466,1,2019-08-20,2019-10-02,43,author_revision
pbio.3000470,1,2019-09-11,2020-01-07,118,author_revision
pbio.3000470,2,2020-01-22,2020-02-18,27,author_revision
pbio.3000471,1,2019-09-13,2019-10-11,28,author_revision
pbio.3000471,2,2019-10-18,2019-10-31,13,author_revision
pbio.3000473,1,2019-07-10,2019-08-16,37,author_revision
pbio.3000476,1,2019-08-22,2019-09-05,14,author_revision
pbio.3000484,1,2019-07-31,2019-08-22,22,author_revision
pbio.3000484,2,2019-09-06,2019-09-23,17,author_revision
pbio.3000485,1,2019-08-01,2019-08-27,26,author_revision
pbio.3000486,1,2019-09-13,2019-10-30,47,author_revision
pbio.3000490,1,2019-07-31,2019-08-28,28,author_revision
pbio.3000490,2,2019-09-03,2019-09-11,8,author_revision
pbio.3000494,0,2019-07-29,2019-07-30,1,author_revision
pbio.3000494,1,2019-09-06,2019-10-23,47,author_revision
pbio.3000495,1,2019-09-06,2019-10-30,54,author_revision
pbio.3000500,1,2019-09-11,2019-10-02,21,author_revision
pbio.3000504,1,2019-11-13,2020-06-08,208,author_revision
pbio.3000504,2,2020-08-13,2020-08-25,12,author_revision
pbio.3000506,1,2019-10-21,2020-07-06,259,author_revision
pbio.3000506,2,2020-08-10,2020-11-13,95,author_revision
pbio.3000507,1,2019-10-03,2019-12-17,75,author_revision
pbio.3000507,2,2019-12-20,2020-01-30,41,author_revision
pbio.3000522,1,2019-08-20,2019-09-20,31,author_revision
pbio.3000522,2,2019-09-25,2019-10-23,28,author_revision
pbio.3000528,1,2019-10-02,2019-11-07,36,author_revision
pbio.3000545,0,2019-06-09,2019-06-11,2,author_revision
pbio.3000545,1,2019-08-02,2019-09-03,32,author_revision
pbio.3000545,2,2019-10-15,2019-11-06,22,author_revision
pbio.3000547,1,2019-09-03,2019-09-17,14,author_revision
pbio.3000547,2,2019-10-16,2019-10-24,8,author_revision
pbio.3000548,1,2019-11-12,2020-02-25,105,author_revision
pbio.3000548,2,2020-05-11,2020-05-20,9,author_revision
pbio.3000548,3,2020-06-09,2020-06-30,21,author_revision
pbio.3000549,0,2019-09-05,2019-09-06,1,author_revision
pbio.3000549,1,2019-10-16,2019-11-10,25,author_revision
pbio.3000551,1,2019-09-23,2019-10-11,18,author_revision
pbio.3000551,2,2019-10-18,2019-11-01,14,author_revision
pbio.3000553,0,2019-09-30,2019-10-03,3,author_revision
pbio.3000553,1,2019-10-21,2019-11-13,23,author_revision
pbio.3000554,1,2019-08-19,2019-10-18,60,author_revision
pbio.3000554,2,2019-10-29,2019-11-12,14,author_revision
pbio.3000556,1,2019-09-09,2019-10-20,41,author_revision
pbio.3000556,2,2019-10-22,2019-11-07,16,author_revision
pbio.3000560,1,2019-08-16,2019-10-12,57,author_revision
pbio.3000560,2,2019-10-25,2019-11-08,14,author_revision
pbio.3000561,1,2019-11-12,2020-05-27,197,author_revision
pbio.3000561,2,2020-06-16,2020-06-23,7,author_revision
pbio.3000563,1,2019-07-17,2019-09-20,65,author_revision
pbio.3000563,2,2019-10-29,2019-11-14,16,author_revision
pbio.3000564,1,2019-12-16,2020-03-30,105,author_revision
pbio.3000564,2,2020-05-18,2020-06-10,23,author_revision
pbio.3000567,1,2019-10-30,2020-01-08,70,author_revision
pbio.3000569,1,2019-08-08,2019-10-07,60,author_revision
pbio.3000569,2,2019-10-31,2019-11-13,13,author_revision
pbio.3000570,0,2019-11-04,2019-11-04,0,author_revision
