sub_article_id,FirstRound
pone.0325834.r002,True
pbio.3000602.r001,True
pbio.3000329.r001,True
pbio.3000443.r001,True
pbio.3000460.r001,True
pbio.3000583.r001,True
pbio.3000563.r001,True
pbio.3000591.r001,True
pbio.3000545.r001,True
pone.0223602.r001,True
pone.0220779.r001,True
pone.0224294.r001,True
pone.0218298.r001,True
pone.0221778.r001,True
pone.0220683.r001,True
pbio.3000713.r001,True
pbio.3000473.r001,True
pone.0226161.r001,True
pone.0222093.r001,True
pone.0220870.r001,True
pone.0220612.r001,True
pone.0221784.r001,True
pone.0222170.r001,True
pone.0221374.r001,True
pone.0220230.r002,True
pone.0224239.r001,True
pbio.3000361.r001,True
pone.0218230.r001,True
pbio.3000364.r001,True
pone.0224848.r001,True
pone.0226634.r001,True
pone.0224243.r001,True
pcbi.1007399.r001,True
pone.0218301.r001,True
pone.0222863.r001,True
pone.0219832.r001,True
pone.0224366.r001,True
pbio.3000484.r001,True
pone.0228381.r001,True
pone.0221826.r001,True
pone.0224887.r001,True
pone.0218300.r001,True
pone.0220993.r002,True
pbio.3000462.r001,True
pone.0224040.r001,True
pbio.3000569.r001,True
pone.0225082.r001,True
pone.0223504.r001,True
pone.0224989.r001,True
pone.0218228.r001,True
pgen.1008634.r001,True
pone.0218229.r001,True
pone.0224928.r001,True
pone.0218839.r001,True
pone.0221685.r001,True
pone.0219024.r001,True
pone.0221918.r001,True
pone.0222755.r001,True
pbio.3000490.r001,True
pone.0219719.r001,True
pone.0221924.r001,True
pone.0223378.r001,True
pone.0223180.r001,True
pone.0221521.r001,True
pone.0230563.r001,True
pone.0220671.r001,True
pone.0223612.r001,True
pone.0218838.r001,True
pone.0225344.r001,True
pone.0222580.r001,True
pone.0225211.r001,True
pone.0223623.r001,True
pone.0224581.r001,True
pone.0224229.r001,True
pone.0221187.r001,True
pone.0220417.r001,True
pone.0223688.r001,True
pone.0222271.r001,True
pgen.1008619.r001,True
pone.0223689.r001,True
pbio.3000456.r001,True
pbio.3000485.r001,True
pone.0221433.r001,True
pbio.3000711.r001,True
pone.0222218.r001,True
pone.0224508.r001,True
pone.0221688.r001,True
pone.0220837.r001,True
pone.0226598.r001,True
pone.0222337.r001,True
pone.0225787.r001,True
pmed.1002965.r001,True
pone.0223555.r001,True
ppat.1008249.r001,True
pone.0222232.r001,True
pone.0223174.r001,True
pgen.1008684.r001,True
ppat.1008049.r001,True
pgen.1008435.r001,True
pone.0223514.r001,True
pbio.3000466.r001,True
pone.0222977.r001,True
pone.0231529.r001,True
pone.0223179.r001,True
pone.0220451.r001,True
pone.0224174.r001,True
pone.0222942.r001,True
pone.0223869.r001,True
pone.0223170.r001,True
pone.0223775.r001,True
pone.0218360.r001,True
pone.0225717.r001,True
pgen.1008389.r001,True
pone.0222463.r001,True
pone.0224323.r001,True
pone.0220161.r002,True
pone.0222335.r001,True
pone.0224697.r001,True
pgen.1008526.r001,True
pone.0221654.r001,True
pcbi.1007384.r001,True
pone.0222634.r001,True
pone.0221429.r001,True
pone.0226418.r001,True
pone.0223199.r001,True
pone.0223154.r001,True
pgen.1008431.r001,True
pone.0218906.r001,True
pone.0222756.r001,True
pone.0222532.r001,True
pone.0224104.r001,True
pone.0222990.r001,True
pone.0220839.r001,True
pone.0220958.r001,True
pone.0221758.r001,True
pbio.3000560.r001,True
pone.0221243.r001,True
pone.0223868.r001,True
pone.0225229.r001,True
pone.0222540.r001,True
pone.0225934.r001,True
pone.0222547.r001,True
pone.0222424.r001,True
pbio.3000705.r001,True
pone.0224926.r001,True
pbio.3000729.r001,True
pone.0224103.r001,True
pone.0223687.r001,True
pone.0221750.r001,True
pone.0223150.r001,True
pone.0224892.r001,True
pone.0223802.r001,True
pone.0224521.r001,True
ppat.1008199.r001,True
pone.0218907.r001,True
pone.0222943.r001,True
pone.0223729.r001,True
pgen.1008553.r001,True
pone.0223474.r001,True
pone.0221632.r001,True
pone.0225556.r001,True
pone.0228874.r001,True
pone.0222861.r002,True
pone.0225197.r001,True
pone.0218694.r001,True
pone.0221155.r001,True
pone.0224541.r001,True
pone.0223339.r001,True
pone.0218695.r001,True
pone.0218582.r001,True
pone.0221599.r001,True
pone.0218302.r001,True
pmed.1002951.r001,True
pone.0223620.r001,True
pone.0222611.r001,True
pone.0227186.r001,True
pone.0223647.r001,True
pgen.1008637.r001,True
pone.0222069.r001,True
pbio.3000429.r001,True
pone.0221980.r001,True
pone.0222945.r001,True
pone.0231246.r001,True
pcbi.1007383.r001,True
pone.0223385.r001,True
ppat.1008192.r002,True
pone.0225652.r001,True
pone.0223374.r001,True
pbio.3000554.r001,True
pgen.1008449.r001,True
pone.0222650.r001,True
pone.0222860.r001,True
pgen.1008401.r001,True
pcbi.1007481.r001,True
pbio.3000495.r001,True
pone.0222141.r001,True
pone.0223492.r001,True
pone.0218061.r001,True
pone.0227045.r001,True
pbio.3000433.r001,True
pone.0223257.r001,True
pone.0222614.r001,True
pone.0223175.r001,True
pbio.3000435.r001,True
pone.0225385.r001,True
pone.0223925.r001,True
pone.0223418.r001,True
pcbi.1007455.r001,True
pone.0219723.r001,True
pbio.3000723.r001,True
pbio.3000522.r001,True
pone.0223411.r001,True
pmed.1002929.r001,True
pone.0224396.r001,True
pone.0222981.r001,True
pone.0222544.r001,True
ppat.1007928.r001,True
pbio.3000586.r001,True
pone.0225125.r001,True
pbio.3000476.r001,True
pone.0221890.r001,True
pone.0224573.r001,True
pbio.3000638.r001,True
pone.0218296.r001,True
pone.0227303.r001,True
pone.0226633.r001,True
pone.0222050.r001,True
pone.0241351.r001,True
pone.0221710.r001,True
pone.0224292.r001,True
pone.0223142.r001,True
pone.0224331.r001,True
pbio.3000611.r001,True
