sub_article_id,LastRound
pone.0220779.r001,True
pone.0220230.r002,True
pone.0224887.r001,True
pone.0218300.r001,True
pone.0220993.r002,True
pone.0224040.r001,True
pone.0225082.r001,True
pone.0218229.r001,True
pone.0221685.r001,True
pone.0219024.r001,True
pone.0223612.r001,True
pone.0219832.r003,True
pone.0221187.r001,True
pone.0222271.r001,True
pone.0221433.r001,True
pone.0222218.r001,True
pone.0221688.r001,True
pone.0222337.r001,True
pone.0223555.r001,True
pone.0222232.r001,True
pone.0220451.r001,True
pone.0222942.r001,True
pone.0221654.r001,True
pone.0221429.r001,True
pone.0226418.r001,True
pone.0218301.r003,True
pone.0218906.r001,True
pone.0222532.r001,True
pone.0220839.r001,True
pone.0220958.r001,True
pone.0221758.r001,True
pone.0221243.r001,True
pone.0222424.r001,True
pone.0224926.r001,True
pone.0224103.r001,True
pone.0218907.r001,True
pone.0222943.r001,True
pone.0220417.r003,True
pone.0221632.r001,True
pone.0222611.r001,True
pone.0227186.r001,True
pone.0222069.r001,True
pone.0221980.r001,True
pone.0222945.r001,True
pone.0223385.r001,True
pone.0222650.r001,True
pone.0222141.r001,True
pone.0220671.r003,True
pone.0220612.r003,True
pone.0223418.r001,True
pone.0219723.r001,True
pone.0223411.r001,True
pone.0222981.r001,True
pone.0220683.r005,True
pone.0221710.r001,True
pone.0223930.r001,True
pone.0224159.r001,True
pone.0222791.r001,True
pone.0222229.r001,True
pone.0223097.r001,True
pone.0222263.r001,True
pone.0224395.r001,True
pone.0221027.r001,True
pone.0220837.r003,True
pone.0220870.r003,True
pone.0220889.r001,True
pone.0222616.r001,True
pone.0225149.r001,True
pone.0224088.r001,True
pone.0221068.r002,True
pone.0221374.r003,True
pone.0224294.r003,True
pone.0222068.r001,True
pone.0219230.r001,True
pone.0222467.r001,True
pone.0223215.r001,True
pone.0221155.r003,True
pone.0223423.r001,True
pone.0222980.r001,True
pone.0219639.r001,True
pone.0223141.r001,True
pone.0222752.r001,True
pone.0223487.r001,True
pone.0218298.r003,True
pone.0222066.r001,True
pone.0222800.r001,True
pone.0221317.r001,True
pone.0223407.r001,True
pone.0221887.r001,True
pone.0224749.r001,True
pone.0223503.r001,True
pone.0218497.r001,True
pone.0223716.r001,True
pone.0221447.r001,True
pone.0225739.r001,True
pone.0226068.r001,True
pone.0222856.r001,True
pone.0221455.r002,True
pone.0224941.r001,True
pone.0225785.r001,True
pone.0221521.r003,True
pone.0226625.r001,True
pone.0223499.r001,True
pone.0225788.r001,True
pone.0225200.r001,True
pone.0221778.r005,True
pone.0224077.r001,True
pone.0221599.r003,True
pone.0223730.r001,True
pone.0223917.r001,True
pone.0224017.r001,True
pone.0223379.r001,True
pone.0219637.r001,True
pone.0221630.r003,True
pone.0223998.r001,True
pone.0227203.r001,True
pone.0225287.r001,True
pone.0221680.r003,True
pone.0224438.r001,True
pone.0222067.r001,True
pone.0226211.r001,True
pone.0225783.r001,True
pone.0224885.r001,True
pone.0225198.r001,True
pone.0221784.r005,True
pone.0218230.r003,True
pone.0221750.r003,True
pone.0219337.r003,True
pone.0224215.r001,True
pone.0222813.r002,True
pone.0224106.r001,True
pone.0221826.r005,True
pone.0220874.r001,True
pone.0222393.r001,True
pone.0220539.r001,True
pone.0224095.r001,True
pone.0226161.r003,True
pone.0225334.r001,True
pone.0221890.r003,True
pone.0223958.r001,True
pone.0228137.r001,True
pone.0229197.r001,True
pone.0225212.r001,True
pone.0222544.r003,True
pone.0221924.r003,True
pone.0222050.r003,True
pone.0225480.r001,True
pone.0225735.r001,True
pone.0218909.r001,True
pone.0224947.r001,True
pone.0224083.r001,True
pone.0225605.r001,True
pone.0223328.r001,True
pone.0224288.r001,True
pone.0224577.r001,True
pone.0225425.r001,True
pone.0224239.r003,True
pone.0222335.r003,True
pone.0225913.r001,True
pone.0223501.r001,True
pone.0222750.r003,True
pone.0223889.r001,True
pone.0222093.r003,True
pone.0218838.r003,True
pone.0224615.r001,True
pone.0223136.r001,True
pone.0225802.r001,True
pone.0225669.r001,True
pone.0219276.r003,True
pone.0222228.r003,True
pone.0224273.r001,True
pone.0219650.r003,True
pone.0222755.r003,True
pone.0229440.r001,True
pone.0219411.r001,True
pone.0224896.r001,True
pone.0224695.r001,True
pone.0225414.r001,True
pone.0226647.r001,True
pone.0225654.r001,True
pone.0225285.r001,True
pone.0223509.r001,True
pone.0226066.r001,True
pone.0222394.r003,True
pone.0229905.r001,True
pone.0224015.r001,True
pone.0222406.r003,True
pone.0223504.r003,True
pone.0224370.r001,True
pone.0223335.r001,True
pone.0224027.r003,True
pone.0223155.r001,True
pone.0221742.r001,True
pone.0228287.r001,True
pone.0225220.r001,True
pone.0221379.r001,True
pone.0220676.r001,True
pone.0222441.r003,True
pone.0226154.r001,True
pone.0222463.r003,True
pone.0231446.r001,True
pone.0222906.r001,True
pone.0226917.r001,True
pone.0225969.r001,True
pone.0223422.r001,True
pone.0226295.r001,True
pone.0222540.r003,True
pone.0222522.r003,True
pone.0226224.r002,True
pone.0225256.r001,True
pone.0225910.r001,True
pone.0222547.r003,True
pone.0223378.r003,True
pone.0223152.r001,True
pone.0222580.r003,True
pone.0224752.r001,True
pone.0222860.r003,True
pone.0225201.r001,True
pone.0224282.r002,True
pone.0222605.r003,True
pone.0223982.r001,True
pone.0222614.r003,True
pone.0222603.r003,True
pone.0225228.r001,True
pone.0230050.r001,True
pone.0225096.r001,True
pone.0222634.r003,True
pone.0225222.r001,True
pone.0225340.r001,True
pone.0224675.r001,True
pone.0222977.r003,True
pone.0225338.r001,True
pone.0225172.r001,True
pone.0224674.r001,True
pone.0224882.r001,True
pone.0224804.r001,True
pone.0224043.r003,True
pone.0218299.r001,True
pone.0223805.r001,True
pone.0220219.r001,True
pone.0224803.r001,True
pone.0223436.r003,True
pone.0222756.r003,True
pone.0226081.r001,True
pone.0222784.r003,True
pone.0223051.r001,True
pone.0225424.r001,True
pone.0225395.r001,True
pone.0225335.r001,True
pone.0224229.r003,True
pone.0222787.r003,True
pone.0222843.r003,True
pone.0225148.r001,True
pone.0222861.r004,True
pone.0225623.r001,True
pone.0222891.r003,True
pone.0222831.r003,True
pone.0224110.r001,True
