PLOSPaperID,curr_date,RoundID,ReviewerLLM
pone.0218228,2019-06-27,pone.0218228.r001,False
pone.0218230,2019-06-20,pone.0218230.r001,False
pone.0218296,2019-07-23,pone.0218296.r001,False
pone.0218298,2019-06-13,pone.0218298.r001,False
pone.0218299,2019-09-06,pone.0218299.r001,False
pone.0218300,2019-06-26,pone.0218300.r001,False
pone.0218302,2019-07-17,pone.0218302.r001,False
pone.0218360,2019-07-09,pone.0218360.r001,False
pone.0218497,2019-08-07,pone.0218497.r001,False
pone.0218582,2019-07-17,pone.0218582.r001,False
pone.0218645,2019-09-10,pone.0218645.r001,True
pone.0218694,2019-07-17,pone.0218694.r001,False
pone.0218695,2019-07-17,pone.0218695.r001,False
pone.0218767,2019-08-12,pone.0218767.r001,False
pone.0218838,2019-07-02,pone.0218838.r001,True
pone.0218839,2019-09-26,pone.0218839.r003,False
pone.0218840,2019-08-19,pone.0218840.r001,False
pone.0218843,2019-12-02,pone.0218843.r001,False
pone.0218844,2019-07-24,pone.0218844.r001,False
pone.0218906,2019-07-11,pone.0218906.r001,False
pone.0218907,2019-07-16,pone.0218907.r001,False
pone.0218908,2019-08-07,pone.0218908.r001,False
pone.0218909,2019-08-21,pone.0218909.r001,False
pone.0219024,2019-06-28,pone.0219024.r001,False
pone.0219230,2019-07-31,pone.0219230.r001,False
pone.0219233,2019-08-27,pone.0219233.r001,False
pone.0219235,2019-08-12,pone.0219235.r001,False
pone.0219236,2019-09-11,pone.0219236.r001,False
pone.0219276,2019-07-26,pone.0219276.r001,False
pone.0219332,2019-09-10,pone.0219332.r001,False
pone.0219337,2019-08-07,pone.0219337.r001,False
pone.0219411,2019-08-28,pone.0219411.r001,True
pone.0219412,2019-11-21,pone.0219412.r001,False
pone.0219415,2019-07-28,pone.0219415.r001,False
pone.0219633,2019-08-11,pone.0219633.r001,False
pone.0219637,2019-08-13,pone.0219637.r001,True
pone.0219639,2019-08-02,pone.0219639.r001,False
pone.0219648,2019-09-19,pone.0219648.r001,False
pone.0219650,2019-08-07,pone.0219650.r001,False
pone.0219652,2019-09-19,pone.0219652.r001,True
pone.0219722,2019-08-22,pone.0219722.r001,False
pone.0219723,2019-07-22,pone.0219723.r001,False
pone.0219724,2019-08-20,pone.0219724.r001,False
pone.0219805,2019-08-09,pone.0219805.r001,False
pone.0219807,2019-10-10,pone.0219807.r001,True
pone.0219832,2019-06-24,pone.0219832.r001,False
pone.0219874,2019-09-03,pone.0219874.r001,False
pone.0219883,2019-09-10,pone.0219883.r001,True
pone.0219886,2019-08-30,pone.0219886.r001,False
pone.0219954,2020-01-02,pone.0219954.r003,True
pone.0220019,2019-09-24,pone.0220019.r001,False
pone.0220020,2019-09-17,pone.0220020.r001,False
pone.0220022,2019-08-23,pone.0220022.r001,False
pone.0220084,2019-10-07,pone.0220084.r003,False
pone.0220091,2019-07-30,pone.0220091.r001,False
pone.0220092,2019-08-04,pone.0220092.r001,False
pone.0220094,2019-08-07,pone.0220094.r001,False
pone.0220095,2019-09-03,pone.0220095.r001,True
pone.0220096,2019-08-30,pone.0220096.r001,False
pone.0220163,2019-09-11,pone.0220163.r001,False
pone.0220164,2019-11-21,pone.0220164.r001,False
pone.0220165,2019-09-10,pone.0220165.r001,True
pone.0220215,2019-08-29,pone.0220215.r001,False
pone.0220216,2019-09-26,pone.0220216.r001,False
pone.0220219,2019-09-09,pone.0220219.r001,False
pone.0220220,2019-08-02,pone.0220220.r001,False
pone.0220230,2019-06-18,pone.0220230.r002,True
pone.0220268,2019-08-27,pone.0220268.r001,False
pone.0220270,2019-08-16,pone.0220270.r001,False
pone.0220274,2019-09-11,pone.0220274.r001,True
pone.0220275,2019-11-08,pone.0220275.r001,False
pone.0220349,2019-09-11,pone.0220349.r001,True
pone.0220355,2020-01-17,pone.0220355.r001,True
pone.0220417,2019-07-03,pone.0220417.r001,False
pone.0220420,2019-09-24,pone.0220420.r001,True
pone.0220424,2019-09-26,pone.0220424.r001,False
pone.0220426,2019-10-23,pone.0220426.r001,False
pone.0220451,2019-07-09,pone.0220451.r001,False
