pmid,pmc,doi,File,publisher-id,pii,other
12929205,PMC176545,10.1371/journal.pbio.0000005,PMC000xxxxxx/PMC176545.xml,,,
12929206,PMC176546,10.1371/journal.pbio.0000006,PMC000xxxxxx/PMC176546.xml,,,
,PMC176547,10.1371/journal.pbio.0000007,PMC000xxxxxx/PMC176547.xml,,,
,PMC176548,10.1371/journal.pbio.0000011,PMC000xxxxxx/PMC176548.xml,,,
12975658,PMC193604,10.1371/journal.pbio.0000013,PMC000xxxxxx/PMC193604.xml,,,
12975657,PMC193605,10.1371/journal.pbio.0000019,PMC000xxxxxx/PMC193605.xml,,,
,PMC193606,10.1371/journal.pbio.0000023,PMC000xxxxxx/PMC193606.xml,,,
,PMC193607,10.1371/journal.pbio.0000031,PMC000xxxxxx/PMC193607.xml,,,
12969509,PMC212319,10.1186/1471-2121-4-13,PMC000xxxxxx/PMC212319.xml,72,,
14551903,PMC212687,10.1371/journal.pbio.0000001,PMC000xxxxxx/PMC212687.xml,,,
,PMC212688,10.1371/journal.pbio.0000004,PMC000xxxxxx/PMC212688.xml,,,
14551906,PMC212689,10.1371/journal.pbio.0000008,PMC000xxxxxx/PMC212689.xml,,,
14551907,PMC212690,10.1371/journal.pbio.0000009,PMC000xxxxxx/PMC212690.xml,,,
14551908,PMC212691,10.1371/journal.pbio.0000010,PMC000xxxxxx/PMC212691.xml,,,
14551910,PMC212692,10.1371/journal.pbio.0000012,PMC000xxxxxx/PMC212692.xml,,,
14551911,PMC212693,10.1371/journal.pbio.0000014,PMC000xxxxxx/PMC212693.xml,,,
14551912,PMC212694,10.1371/journal.pbio.0000015,PMC000xxxxxx/PMC212694.xml,,,
14551913,PMC212695,10.1371/journal.pbio.0000016,PMC000xxxxxx/PMC212695.xml,,,
14551914,PMC212696,10.1371/journal.pbio.0000017,PMC000xxxxxx/PMC212696.xml,,,
14551915,PMC212697,10.1371/journal.pbio.0000018,PMC000xxxxxx/PMC212697.xml,,,
14551916,PMC212698,10.1371/journal.pbio.0000020,PMC000xxxxxx/PMC212698.xml,,,
14551917,PMC212699,10.1371/journal.pbio.0000021,PMC000xxxxxx/PMC212699.xml,,,
,PMC212700,10.1371/journal.pbio.0000024,PMC000xxxxxx/PMC212700.xml,,,
,PMC212701,10.1371/journal.pbio.0000026,PMC000xxxxxx/PMC212701.xml,,,
14551921,PMC212702,10.1371/journal.pbio.0000027,PMC000xxxxxx/PMC212702.xml,,,
,PMC212703,10.1371/journal.pbio.0000030,PMC000xxxxxx/PMC212703.xml,,,
,PMC212704,10.1371/journal.pbio.0000032,PMC000xxxxxx/PMC212704.xml,,,
14551925,PMC212705,10.1371/journal.pbio.0000034,PMC000xxxxxx/PMC212705.xml,,,
14551926,PMC212706,10.1371/journal.pbio.0000036,PMC000xxxxxx/PMC212706.xml,,,
14624234,PMC261870,10.1371/journal.pbio.0000002,PMC000xxxxxx/PMC261870.xml,,,
,PMC300675,10.1371/journal.pbio.0000029,PMC000xxxxxx/PMC300675.xml,,,
,PMC300700,10.1371/journal.pbio.0000092,PMC000xxxxxx/PMC300700.xml,,,
14737182,PMC300881,10.1371/journal.pbio.0020002,PMC000xxxxxx/PMC300881.xml,,,
14737187,PMC300882,10.1371/journal.pbio.0020009,PMC000xxxxxx/PMC300882.xml,,,
14737191,PMC300883,10.1371/journal.pbio.0020015,PMC000xxxxxx/PMC300883.xml,,,
,PMC300884,10.1371/journal.pbio.0020017,PMC000xxxxxx/PMC300884.xml,,,
,PMC300885,10.1371/journal.pbio.0020018,PMC000xxxxxx/PMC300885.xml,,,
,PMC300886,10.1371/journal.pbio.0020034,PMC000xxxxxx/PMC300886.xml,,,
14737219,PMC314300,10.1371/journal.pbio.0020007,PMC000xxxxxx/PMC314300.xml,,,
,PMC314301,10.1371/journal.pbio.0020039,PMC000xxxxxx/PMC314301.xml,,,
14737181,PMC314462,10.1371/journal.pbio.0020001,PMC000xxxxxx/PMC314462.xml,,,
14737183,PMC314463,10.1371/journal.pbio.0020003,PMC000xxxxxx/PMC314463.xml,,,
14737184,PMC314464,10.1371/journal.pbio.0020004,PMC000xxxxxx/PMC314464.xml,,,
14737185,PMC314465,10.1371/journal.pbio.0020005,PMC000xxxxxx/PMC314465.xml,,,
14737186,PMC314466,10.1371/journal.pbio.0020006,PMC000xxxxxx/PMC314466.xml,,,
,PMC314467,10.1371/journal.pbio.0020010,PMC000xxxxxx/PMC314467.xml,,,
14737189,PMC314468,10.1371/journal.pbio.0020013,PMC000xxxxxx/PMC314468.xml,,,
14737190,PMC314469,10.1371/journal.pbio.0020014,PMC000xxxxxx/PMC314469.xml,,,
,PMC314470,10.1371/journal.pbio.0020016,PMC000xxxxxx/PMC314470.xml,,,
14737195,PMC314471,10.1371/journal.pbio.0020019,PMC000xxxxxx/PMC314471.xml,,,
14737196,PMC314472,10.1371/journal.pbio.0020021,PMC000xxxxxx/PMC314472.xml,,,
,PMC314473,10.1371/journal.pbio.0020023,PMC000xxxxxx/PMC314473.xml,,,
14737198,PMC314474,10.1371/journal.pbio.0020024,PMC000xxxxxx/PMC314474.xml,,,
14737199,PMC314475,10.1371/journal.pbio.0020025,PMC000xxxxxx/PMC314475.xml,,,
,PMC314476,10.1371/journal.pbio.0020026,PMC000xxxxxx/PMC314476.xml,,,
14737201,PMC314477,10.1371/journal.pbio.0020028,PMC000xxxxxx/PMC314477.xml,,,
,PMC314478,10.1371/journal.pbio.0020032,PMC000xxxxxx/PMC314478.xml,,,
,PMC314479,10.1371/journal.pbio.0020033,PMC000xxxxxx/PMC314479.xml,,,
,PMC314480,10.1371/journal.pbio.0020037,PMC000xxxxxx/PMC314480.xml,,,
,PMC314481,10.1371/journal.pbio.0020038,PMC000xxxxxx/PMC314481.xml,,,
,PMC314482,10.1371/journal.pbio.0020074,PMC000xxxxxx/PMC314482.xml,,,
14737188,PMC314483,10.1371/journal.pbio.0020011,PMC000xxxxxx/PMC314483.xml,,,
14758368,PMC317275,10.1371/journal.pbio.0020008,PMC000xxxxxx/PMC317275.xml,,,
14758367,PMC322746,10.1371/journal.pbio.0020012,PMC000xxxxxx/PMC322746.xml,,,
15024404,PMC338072,10.1371/journal.pbio.0020095,PMC000xxxxxx/PMC338072.xml,,,
,PMC340127,10.1371/journal.pbio.0020102,PMC000xxxxxx/PMC340127.xml,,,
14966528,PMC340937,10.1371/journal.pbio.0020020,PMC000xxxxxx/PMC340937.xml,,,
14966529,PMC340938,10.1371/journal.pbio.0020022,PMC000xxxxxx/PMC340938.xml,,,
14966530,PMC340939,10.1371/journal.pbio.0020027,PMC000xxxxxx/PMC340939.xml,,,
14966531,PMC340940,10.1371/journal.pbio.0020029,PMC000xxxxxx/PMC340940.xml,,,
14966532,PMC340941,10.1371/journal.pbio.0020030,PMC000xxxxxx/PMC340941.xml,,,
14966533,PMC340942,10.1371/journal.pbio.0020031,PMC000xxxxxx/PMC340942.xml,,,
14966534,PMC340943,10.1371/journal.pbio.0020035,PMC000xxxxxx/PMC340943.xml,,,
14966535,PMC340944,10.1371/journal.pbio.0020036,PMC000xxxxxx/PMC340944.xml,,,
14966536,PMC340945,10.1371/journal.pbio.0020040,PMC000xxxxxx/PMC340945.xml,,,
,PMC340946,10.1371/journal.pbio.0020041,PMC000xxxxxx/PMC340946.xml,,,
14966538,PMC340947,10.1371/journal.pbio.0020044,PMC000xxxxxx/PMC340947.xml,,,
14966539,PMC340948,10.1371/journal.pbio.0020045,PMC000xxxxxx/PMC340948.xml,,,
14966540,PMC340949,10.1371/journal.pbio.0020046,PMC000xxxxxx/PMC340949.xml,,,
,PMC340950,10.1371/journal.pbio.0020047,PMC000xxxxxx/PMC340950.xml,,,
14966541,PMC340951,10.1371/journal.pbio.0020048,PMC000xxxxxx/PMC340951.xml,,,
14966542,PMC340952,10.1371/journal.pbio.0020049,PMC000xxxxxx/PMC340952.xml,,,
,PMC340953,10.1371/journal.pbio.0020051,PMC000xxxxxx/PMC340953.xml,,,
14966544,PMC340954,10.1371/journal.pbio.0020052,PMC000xxxxxx/PMC340954.xml,,,
14966545,PMC340955,10.1371/journal.pbio.0020053,PMC000xxxxxx/PMC340955.xml,,,
14966546,PMC340956,10.1371/journal.pbio.0020054,PMC000xxxxxx/PMC340956.xml,,,
,PMC340957,10.1371/journal.pbio.0020056,PMC000xxxxxx/PMC340957.xml,,,
,PMC340958,10.1371/journal.pbio.0020058,PMC000xxxxxx/PMC340958.xml,,,
,PMC340959,10.1371/journal.pbio.0020059,PMC000xxxxxx/PMC340959.xml,,,
,PMC340960,10.1371/journal.pbio.0020060,PMC000xxxxxx/PMC340960.xml,,,
,PMC340961,10.1371/journal.pbio.0020061,PMC000xxxxxx/PMC340961.xml,,,
,PMC340962,10.1371/journal.pbio.0020062,PMC000xxxxxx/PMC340962.xml,,,
14966553,PMC340963,10.1371/journal.pbio.0020063,PMC000xxxxxx/PMC340963.xml,,,
,PMC340964,10.1371/journal.pbio.0020066,PMC000xxxxxx/PMC340964.xml,,,
15024405,PMC350664,10.1371/journal.pbio.0020098,PMC000xxxxxx/PMC350664.xml,,,
15024409,PMC350667,10.1371/journal.pbio.0020104,PMC000xxxxxx/PMC350667.xml,,,
,PMC350672,10.1371/journal.pbio.0020107,PMC000xxxxxx/PMC350672.xml,,,
