pmid,pmc,doi,File,publisher-id,sici,pii,other,medline,manuscript
15736975,PMC1043859,10.1371/journal.pbio.0030060,PMC001xxxxxx/PMC1043859.xml,,,,,,
15723116,PMC1043860,10.1371/journal.pbio.0030085,PMC001xxxxxx/PMC1043860.xml,,,,,,
,PMC1043861,10.1371/journal.pbio.0030114,PMC001xxxxxx/PMC1043861.xml,,,,,,
15736988,PMC1043862,10.1371/journal.pbio.0030122,PMC001xxxxxx/PMC1043862.xml,,,,,,
15736976,PMC1044830,10.1371/journal.pbio.0030063,PMC001xxxxxx/PMC1044830.xml,,,,,,
15736977,PMC1044831,10.1371/journal.pbio.0030064,PMC001xxxxxx/PMC1044831.xml,,,,,,
15736978,PMC1044832,10.1371/journal.pbio.0030071,PMC001xxxxxx/PMC1044832.xml,,,,,,
15736979,PMC1044833,10.1371/journal.pbio.0030077,PMC001xxxxxx/PMC1044833.xml,,,,,,
15736980,PMC1044834,10.1371/journal.pbio.0030078,PMC001xxxxxx/PMC1044834.xml,,,,,,
15736981,PMC1044835,10.1371/journal.pbio.0030079,PMC001xxxxxx/PMC1044835.xml,,,,,,
15736982,PMC1044836,10.1371/journal.pbio.0030099,PMC001xxxxxx/PMC1044836.xml,,,,,,
15736983,PMC1044837,10.1371/journal.pbio.0030103,PMC001xxxxxx/PMC1044837.xml,,,,,,
15736984,PMC1044838,10.1371/journal.pbio.0030104,PMC001xxxxxx/PMC1044838.xml,,,,,,
15736985,PMC1044839,10.1371/journal.pbio.0030108,PMC001xxxxxx/PMC1044839.xml,,,,,,
15736986,PMC1044840,10.1371/journal.pbio.0030109,PMC001xxxxxx/PMC1044840.xml,,,,,,
15736987,PMC1044841,10.1371/journal.pbio.0030116,PMC001xxxxxx/PMC1044841.xml,,,,,,
15737020,PMC1054879,10.1371/journal.pbio.0030067,PMC001xxxxxx/PMC1054879.xml,,,,,,
15737062,PMC1054880,10.1371/journal.pbio.0030068,PMC001xxxxxx/PMC1054880.xml,,,,,,
15737063,PMC1054881,10.1371/journal.pbio.0030069,PMC001xxxxxx/PMC1054881.xml,,,,,,
15737064,PMC1054882,10.1371/journal.pbio.0030086,PMC001xxxxxx/PMC1054882.xml,,,,,,
15737065,PMC1054883,10.1371/journal.pbio.0030088,PMC001xxxxxx/PMC1054883.xml,,,,,,
15737066,PMC1054884,10.1371/journal.pbio.0030089,PMC001xxxxxx/PMC1054884.xml,,,,,,
,PMC1054885,10.1371/journal.pbio.0030098,PMC001xxxxxx/PMC1054885.xml,,,,,,
,PMC1054886,10.1371/journal.pbio.0030106,PMC001xxxxxx/PMC1054886.xml,,,,,,
15737067,PMC1054887,10.1371/journal.pbio.0030110,PMC001xxxxxx/PMC1054887.xml,,,,,,
,PMC1054888,10.1371/journal.pbio.0030111,PMC001xxxxxx/PMC1054888.xml,,,,,,
,PMC1054889,10.1371/journal.pbio.0030115,PMC001xxxxxx/PMC1054889.xml,,,,,,
,PMC1054890,10.1371/journal.pbio.0030117,PMC001xxxxxx/PMC1054890.xml,,,,,,
,PMC1054891,10.1371/journal.pbio.0030126,PMC001xxxxxx/PMC1054891.xml,,,,,,
15752064,PMC1059451,10.1371/journal.pbio.0030082,PMC001xxxxxx/PMC1059451.xml,,,,,,
,PMC1059452,10.1371/journal.pbio.0030112,PMC001xxxxxx/PMC1059452.xml,,,,,,
15755195,PMC1062889,10.1371/journal.pmed.0020100,PMC001xxxxxx/PMC1062889.xml,,,,,,
15535843,PMC1064074,10.1186/bcr922,PMC001xxxxxx/PMC1064074.xml,bcr922,,,,,
15535845,PMC1064075,10.1186/bcr928,PMC001xxxxxx/PMC1064075.xml,bcr928,,,,,
15535847,PMC1064076,10.1186/bcr929,PMC001xxxxxx/PMC1064076.xml,bcr929,,,,,
15535849,PMC1064077,10.1186/bcr930,PMC001xxxxxx/PMC1064077.xml,bcr930,,,,,
15535848,PMC1064078,10.1186/bcr931,PMC001xxxxxx/PMC1064078.xml,bcr931,,,,,
15535844,PMC1064080,10.1186/bcr933,PMC001xxxxxx/PMC1064080.xml,bcr933,,,,,
15535850,PMC1064081,10.1186/bcr934,PMC001xxxxxx/PMC1064081.xml,bcr934,,,,,
15535846,PMC1064082,10.1186/bcr935,PMC001xxxxxx/PMC1064082.xml,bcr935,,,,,
15535851,PMC1064084,10.1186/bcr937,PMC001xxxxxx/PMC1064084.xml,bcr937,,,,,
15642166,PMC1064093,10.1186/bcr939,PMC001xxxxxx/PMC1064093.xml,bcr939,,,,,
15642157,PMC1064094,10.1186/bcr940,PMC001xxxxxx/PMC1064094.xml,bcr940,,,,,
15642161,PMC1064095,10.1186/bcr941,PMC001xxxxxx/PMC1064095.xml,bcr941,,,,,
15642168,PMC1064097,10.1186/bcr948,PMC001xxxxxx/PMC1064097.xml,bcr948,,,,,
15642169,PMC1064098,10.1186/bcr949,PMC001xxxxxx/PMC1064098.xml,bcr949,,,,,
15642167,PMC1064099,10.1186/bcr950,PMC001xxxxxx/PMC1064099.xml,bcr950,,,,,
15642171,PMC1064100,10.1186/bcr951,PMC001xxxxxx/PMC1064100.xml,bcr951,,,,,
15642173,PMC1064101,10.1186/bcr953,PMC001xxxxxx/PMC1064101.xml,bcr953,,,,,
15642172,PMC1064102,10.1186/bcr954,PMC001xxxxxx/PMC1064102.xml,bcr954,,,,,
15642170,PMC1064103,10.1186/bcr956,PMC001xxxxxx/PMC1064103.xml,bcr956,,,,,
15642158,PMC1064104,10.1186/bcr958,PMC001xxxxxx/PMC1064104.xml,bcr958,,,,,
15642162,PMC1064105,10.1186/bcr959,PMC001xxxxxx/PMC1064105.xml,bcr959,,,,,
15642163,PMC1064108,10.1186/bcr962,PMC001xxxxxx/PMC1064108.xml,bcr962,,,,,
15642160,PMC1064109,10.1186/bcr963,PMC001xxxxxx/PMC1064109.xml,bcr963,,,,,
15642159,PMC1064111,10.1186/bcr965,PMC001xxxxxx/PMC1064111.xml,bcr965,,,,,
15642165,PMC1064114,10.1186/bcr968,PMC001xxxxxx/PMC1064114.xml,bcr968,,,,,
15642164,PMC1064115,10.1186/bcr969,PMC001xxxxxx/PMC1064115.xml,bcr969,,,,,
15743497,PMC1064126,10.1186/bcr971,PMC001xxxxxx/PMC1064126.xml,bcr971,,,,,
15743496,PMC1064127,10.1186/bcr973,PMC001xxxxxx/PMC1064127.xml,bcr973,,,,,
15743498,PMC1064128,10.1186/bcr974,PMC001xxxxxx/PMC1064128.xml,bcr974,,,,,
15743499,PMC1064129,10.1186/bcr975,PMC001xxxxxx/PMC1064129.xml,bcr975,,,,,
15743503,PMC1064130,10.1186/bcr976,PMC001xxxxxx/PMC1064130.xml,bcr976,,,,,
15743500,PMC1064131,10.1186/bcr977,PMC001xxxxxx/PMC1064131.xml,bcr977,,,,,
15743504,PMC1064132,10.1186/bcr978,PMC001xxxxxx/PMC1064132.xml,bcr978,,,,,
