pmid,pmc,publisher-id,doi,File,pii,manuscript
39018393,PMC466938,ado9413,10.1126/sciadv.ado9413,PMC000xxxxxx/PMC466938.xml,,
39018402,PMC466939,adr4808,10.1126/sciadv.adr4808,PMC000xxxxxx/PMC466939.xml,,
39018404,PMC466942,ado9607,10.1126/sciadv.ado9607,PMC000xxxxxx/PMC466942.xml,,
39018391,PMC466945,ado2682,10.1126/sciadv.ado2682,PMC000xxxxxx/PMC466945.xml,,
39018397,PMC466946,adk4920,10.1126/sciadv.adk4920,PMC000xxxxxx/PMC466946.xml,,
39018390,PMC466947,adk1817,10.1126/sciadv.adk1817,PMC000xxxxxx/PMC466947.xml,,
39018394,PMC466948,ado5398,10.1126/sciadv.ado5398,PMC000xxxxxx/PMC466948.xml,,
39018395,PMC466949,ado6268,10.1126/sciadv.ado6268,PMC000xxxxxx/PMC466949.xml,,
39018392,PMC466950,adn4582,10.1126/sciadv.adn4582,PMC000xxxxxx/PMC466950.xml,,
39018398,PMC466952,ado2623,10.1126/sciadv.ado2623,PMC000xxxxxx/PMC466952.xml,,
39018415,PMC466954,adn4613,10.1126/sciadv.adn4613,PMC000xxxxxx/PMC466954.xml,,
39018409,PMC466955,ado5645,10.1126/sciadv.ado5645,PMC000xxxxxx/PMC466955.xml,,
39018413,PMC466956,adp1439,10.1126/sciadv.adp1439,PMC000xxxxxx/PMC466956.xml,,
39018407,PMC466959,ado2957,10.1126/sciadv.ado2957,PMC000xxxxxx/PMC466959.xml,,
39018412,PMC466960,abq0997,10.1126/sciadv.abq0997,PMC000xxxxxx/PMC466960.xml,,
39018411,PMC466961,adn3923,10.1126/sciadv.adn3923,PMC000xxxxxx/PMC466961.xml,,
39018408,PMC466962,ado2118,10.1126/sciadv.ado2118,PMC000xxxxxx/PMC466962.xml,,
39018410,PMC466963,ado8471,10.1126/sciadv.ado8471,PMC000xxxxxx/PMC466963.xml,,
39022112,PMC466967,,10.1016/j.radcr.2024.04.063,PMC000xxxxxx/PMC466967.xml,S1930-0433(24)00362-5,
39022116,PMC466968,,10.1016/j.radcr.2023.06.050,PMC000xxxxxx/PMC466968.xml,S1930-0433(23)00421-1,
39022115,PMC466969,,10.1016/j.radcr.2023.12.037,PMC000xxxxxx/PMC466969.xml,S1930-0433(23)00951-2,
