pmid,pmc,publisher-id,doi,File,other,pii
14699080,PMC1193645,20020509,10.1084/jem.20020509,PMC001xxxxxx/PMC1193645.xml,,
15583013,PMC1237012,20040915,10.1084/jem.20040915,PMC001xxxxxx/PMC1237012.xml,,
15699070,PMC1237122,20041577,10.1084/jem.20041577,PMC001xxxxxx/PMC1237122.xml,,
11470818,PMC1255917,0104043,10.1083/jcb.200104043,PMC001xxxxxx/PMC1255917.xml,,
11535615,PMC1255922,0104099,10.1083/jcb.200104099,PMC001xxxxxx/PMC1255922.xml,,
12707307,PMC1255929,200211127,10.1083/jcb.200211127,PMC001xxxxxx/PMC1255929.xml,,
15738051,PMC1282461,200409187,10.1085/jgp.200409187,PMC001xxxxxx/PMC1282461.xml,,
16103225,PMC1283094,200504131,10.1083/jcb.200504131,PMC001xxxxxx/PMC1283094.xml,,
8991098,PMC1283140,97145456,,PMC001xxxxxx/PMC1283140.xml,,
15067021,PMC1289150,200309138,10.1083/jcb.200309138,PMC001xxxxxx/PMC1289150.xml,,
15767296,PMC1289160,200409228,10.1085/jgp.200409228,PMC001xxxxxx/PMC1289160.xml,,
11781335,PMC1307503,0110059,10.1083/jcb.200110059,PMC001xxxxxx/PMC1307503.xml,,
16275756,PMC1343528,200505155,10.1083/jcb.200505155,PMC001xxxxxx/PMC1343528.xml,,
16314435,PMC1350743,20051166,10.1084/jem.20051166,PMC001xxxxxx/PMC1350743.xml,,
16260490,PMC1350947,20051376,10.1084/jem.20051376,PMC001xxxxxx/PMC1350947.xml,,
15824131,PMC1351127,200411118,10.1083/jcb.200411118,PMC001xxxxxx/PMC1351127.xml,,
15753208,PMC1351290,20041470,10.1084/jem.20041470,PMC001xxxxxx/PMC1351290.xml,,
16009725,PMC1351313,200504167,10.1083/jcb.200504167,PMC001xxxxxx/PMC1351313.xml,,
15314061,PMC1360213,200405110,10.1083/jcb.200405110,PMC001xxxxxx/PMC1360213.xml,,
