pmid,pmc,publisher-id,File,doi,pii
11250746,PMC13900,BCR-3-1-055,PMC000xxxxxx/PMC13900.xml,,
11250747,PMC13901,BCR-3-1-061,PMC000xxxxxx/PMC13901.xml,,
11250748,PMC13902,BCR-3-1-066,PMC000xxxxxx/PMC13902.xml,,
11056684,PMC13911,bcr-2-1-059,PMC000xxxxxx/PMC13911.xml,,
11400682,PMC13912,bcr-2-1-064,PMC000xxxxxx/PMC13912.xml,,
11056681,PMC13913,bcr-1-1-073,PMC000xxxxxx/PMC13913.xml,,
11056682,PMC13914,bcr-1-1-081,PMC000xxxxxx/PMC13914.xml,,
11056683,PMC13915,bcr-1-1-088,PMC000xxxxxx/PMC13915.xml,,
11056686,PMC13916,bcr-2-2-139,PMC000xxxxxx/PMC13916.xml,,
11056687,PMC13917,bcr-2-3-222,PMC000xxxxxx/PMC13917.xml,,
11056688,PMC13918,bcr-2-4-307,PMC000xxxxxx/PMC13918.xml,,
11056689,PMC13919,bcr-2-4-311,PMC000xxxxxx/PMC13919.xml,,
11056690,PMC13920,bcr-2-5-378,PMC000xxxxxx/PMC13920.xml,,
11056691,PMC13921,bcr-2-6-438,PMC000xxxxxx/PMC13921.xml,,
11056692,PMC13922,bcr-2-6-444,PMC000xxxxxx/PMC13922.xml,,
11250759,PMC13923,BCR-3-2-122,PMC000xxxxxx/PMC13923.xml,,
11250760,PMC13924,BCR-3-2-134,PMC000xxxxxx/PMC13924.xml,,
10637286,PMC14752,1080,PMC000xxxxxx/PMC14752.xml,,
11178228,PMC15015,gb-2000-1-2-research0003,PMC000xxxxxx/PMC15015.xml,,
11178229,PMC15016,gb-2000-1-2-research0004,PMC000xxxxxx/PMC15016.xml,,
11178238,PMC15023,gb-2000-1-3-research0005,PMC000xxxxxx/PMC15023.xml,,
11178239,PMC15024,gb-2000-1-3-research0006,PMC000xxxxxx/PMC15024.xml,,
11178247,PMC15025,gb-2000-1-4-research0007,PMC000xxxxxx/PMC15025.xml,,
11178248,PMC15026,gb-2000-1-4-research0008,PMC000xxxxxx/PMC15026.xml,,
11178258,PMC15027,gb-2000-1-5-research0009,PMC000xxxxxx/PMC15027.xml,,
11178259,PMC15028,gb-2000-1-5-research0010,PMC000xxxxxx/PMC15028.xml,,
11178265,PMC16139,gb-2000-1-6-research0011,PMC000xxxxxx/PMC16139.xml,,
11178266,PMC16141,gb-2000-1-6-research0012,PMC000xxxxxx/PMC16141.xml,,
11178267,PMC16144,gb-2000-1-6-research0013,PMC000xxxxxx/PMC16144.xml,,
11178268,PMC16145,gb-2000-1-6-research0014,PMC000xxxxxx/PMC16145.xml,,
11178278,PMC17597,gb-2000-2-1-research0001,PMC000xxxxxx/PMC17597.xml,,
11178279,PMC17598,gb-2000-2-1-research0002,PMC000xxxxxx/PMC17598.xml,,
11178280,PMC17599,gb-2001-2-1-research0003,PMC000xxxxxx/PMC17599.xml,,
11056661,PMC17774,ar-1-1-063,PMC000xxxxxx/PMC17774.xml,,
11056662,PMC17776,ar-1-1-071,PMC000xxxxxx/PMC17776.xml,,
11056663,PMC17779,ar-1-1-081,PMC000xxxxxx/PMC17779.xml,,
11219389,PMC17803,ar-2-1-050,PMC000xxxxxx/PMC17803.xml,,
11219390,PMC17804,ar-2-1-059,PMC000xxxxxx/PMC17804.xml,,
11219391,PMC17805,ar-2-1-065,PMC000xxxxxx/PMC17805.xml,,
11219392,PMC17806,ar-2-1-075,PMC000xxxxxx/PMC17806.xml,,
11062604,PMC17807,ar-2-2-142,PMC000xxxxxx/PMC17807.xml,,
11062605,PMC17808,ar-2-2-145,PMC000xxxxxx/PMC17808.xml,,
11062606,PMC17809,ar-2-2-154,PMC000xxxxxx/PMC17809.xml,,
11056668,PMC17810,ar-2-3-229,PMC000xxxxxx/PMC17810.xml,,
11056669,PMC17811,ar-2-3-236,PMC000xxxxxx/PMC17811.xml,,
11056670,PMC17812,ar-2-4-293,PMC000xxxxxx/PMC17812.xml,,
11056671,PMC17813,ar-2-4-303,PMC000xxxxxx/PMC17813.xml,,
11056672,PMC17814,ar-2-4-315,PMC000xxxxxx/PMC17814.xml,,
11056673,PMC17815,ar-2-4-327,PMC000xxxxxx/PMC17815.xml,,
11056674,PMC17816,ar-2-5-399,PMC000xxxxxx/PMC17816.xml,,
11056675,PMC17817,ar-2-5-407,PMC000xxxxxx/PMC17817.xml,,
11056676,PMC17818,ar-2-5-415,PMC000xxxxxx/PMC17818.xml,,
11056677,PMC17819,ar-2-5-424,PMC000xxxxxx/PMC17819.xml,,
11056678,PMC17820,ar-2-6-477,PMC000xxxxxx/PMC17820.xml,,
11056679,PMC17821,ar-2-6-489,PMC000xxxxxx/PMC17821.xml,,
11056680,PMC17822,ar-2-6-504,PMC000xxxxxx/PMC17822.xml,,
11178125,PMC17823,AR-3-1-041,PMC000xxxxxx/PMC17823.xml,,
11178126,PMC17824,AR-3-1-048,PMC000xxxxxx/PMC17824.xml,,
11178127,PMC17825,AR-3-1-054,PMC000xxxxxx/PMC17825.xml,,
11178128,PMC17826,AR-3-1-065,PMC000xxxxxx/PMC17826.xml,,
11178129,PMC17827,AR-3-1-072,PMC000xxxxxx/PMC17827.xml,,
11178119,PMC17828,AR-3-2-118,PMC000xxxxxx/PMC17828.xml,,
11178120,PMC17829,AR-3-2-127,PMC000xxxxxx/PMC17829.xml,,
11182887,PMC25774,gb-2001-2-2-research0004,PMC000xxxxxx/PMC25774.xml,,
11182888,PMC25775,gb-2001-2-2-research0005,PMC000xxxxxx/PMC25775.xml,,
11182889,PMC25776,gb-2001-2-2-research0006,PMC000xxxxxx/PMC25776.xml,,
11056693,PMC28985,cc-1-1-015,PMC000xxxxxx/PMC28985.xml,,
11056694,PMC28986,cc-1-1-025,PMC000xxxxxx/PMC28986.xml,,
11056695,PMC28987,cc-1-1-041,PMC000xxxxxx/PMC28987.xml,,
11056696,PMC28988,cc-1-1-045,PMC000xxxxxx/PMC28988.xml,,
11056697,PMC28989,cc-1-2-065,PMC000xxxxxx/PMC28989.xml,,
11056698,PMC28990,cc-1-2-071,PMC000xxxxxx/PMC28990.xml,,
11056699,PMC28991,cc-1-2-075,PMC000xxxxxx/PMC28991.xml,,
11056700,PMC28992,cc-1-2-079,PMC000xxxxxx/PMC28992.xml,,
11056701,PMC28993,cc-1-3-095,PMC000xxxxxx/PMC28993.xml,,
11056702,PMC28994,cc-1-3-101,PMC000xxxxxx/PMC28994.xml,,
11056703,PMC28995,cc-1-3-105,PMC000xxxxxx/PMC28995.xml,,
11056704,PMC28996,cc-1-3-111,PMC000xxxxxx/PMC28996.xml,,
11056705,PMC28997,cc-2-1-019,PMC000xxxxxx/PMC28997.xml,,
11056706,PMC28998,cc-2-1-025,PMC000xxxxxx/PMC28998.xml,,
11056707,PMC28999,cc-2-1-029,PMC000xxxxxx/PMC28999.xml,,
11056708,PMC29000,cc-2-1-035,PMC000xxxxxx/PMC29000.xml,,
11056709,PMC29001,cc-2-2-049,PMC000xxxxxx/PMC29001.xml,,
11056710,PMC29002,cc-2-2-057,PMC000xxxxxx/PMC29002.xml,,
11056711,PMC29003,cc-2-2-061,PMC000xxxxxx/PMC29003.xml,,
11056712,PMC29004,cc-2-2-067,PMC000xxxxxx/PMC29004.xml,,
11056715,PMC29005,cc-3-1-001,PMC000xxxxxx/PMC29005.xml,,
11056716,PMC29006,cc-3-1-007,PMC000xxxxxx/PMC29006.xml,,
11056717,PMC29007,cc-3-1-011,PMC000xxxxxx/PMC29007.xml,,
11056718,PMC29008,cc-3-1-017,PMC000xxxxxx/PMC29008.xml,,
11056719,PMC29009,cc-3-1-019,PMC000xxxxxx/PMC29009.xml,,
11056720,PMC29010,cc-3-1-023,PMC000xxxxxx/PMC29010.xml,,
11056721,PMC29011,cc-3-1-033,PMC000xxxxxx/PMC29011.xml,,
11056722,PMC29012,cc-3-1-039,PMC000xxxxxx/PMC29012.xml,,
11056723,PMC29013,cc-3-1-045,PMC000xxxxxx/PMC29013.xml,,
11056724,PMC29014,cc-3-1-051,PMC000xxxxxx/PMC29014.xml,,
11056725,PMC29015,cc-3-2-057,PMC000xxxxxx/PMC29015.xml,,
11056726,PMC29016,cc-3-2-065,PMC000xxxxxx/PMC29016.xml,,
11056727,PMC29017,cc-3-3-071,PMC000xxxxxx/PMC29017.xml,,
11056728,PMC29018,cc-3-3-079,PMC000xxxxxx/PMC29018.xml,,
11056729,PMC29019,cc-3-3-085,PMC000xxxxxx/PMC29019.xml,,
11056730,PMC29020,cc-3-4-091,PMC000xxxxxx/PMC29020.xml,,
11056731,PMC29021,cc-3-4-095,PMC000xxxxxx/PMC29021.xml,,
11056732,PMC29022,cc-3-4-101,PMC000xxxxxx/PMC29022.xml,,
11056733,PMC29023,cc-3-4-111,PMC000xxxxxx/PMC29023.xml,,
11056734,PMC29024,cc-3-4-117,PMC000xxxxxx/PMC29024.xml,,
11056735,PMC29025,cc-3-5-123,PMC000xxxxxx/PMC29025.xml,,
11056736,PMC29026,cc-3-5-127,PMC000xxxxxx/PMC29026.xml,,
11114145,PMC29027,cc-3-5-131,PMC000xxxxxx/PMC29027.xml,,
11056737,PMC29028,cc-3-6-135,PMC000xxxxxx/PMC29028.xml,,
11056738,PMC29029,cc-3-6-139,PMC000xxxxxx/PMC29029.xml,,
11056739,PMC29030,cc-3-6-145,PMC000xxxxxx/PMC29030.xml,,
11056740,PMC29031,cc-3-6-151,PMC000xxxxxx/PMC29031.xml,,
11056741,PMC29032,cc-3-6-159,PMC000xxxxxx/PMC29032.xml,,
11056742,PMC29033,cc-3-6-167,PMC000xxxxxx/PMC29033.xml,,
11056743,PMC29034,cc-4-1-040,PMC000xxxxxx/PMC29034.xml,,
11056744,PMC29035,cc-4-1-045,PMC000xxxxxx/PMC29035.xml,,
11056745,PMC29036,cc-4-1-050,PMC000xxxxxx/PMC29036.xml,,
