pmid,pmc,File,doi,publisher-id,pii,sici,manuscript,other,coden
5324022,PMC1033552,PMC001xxxxxx/PMC1033552.xml,,,,,,,
5324023,PMC1033553,PMC001xxxxxx/PMC1033553.xml,,,,,,,
5324024,PMC1033554,PMC001xxxxxx/PMC1033554.xml,,,,,,,
5324025,PMC1033555,PMC001xxxxxx/PMC1033555.xml,,,,,,,
5324026,PMC1033556,PMC001xxxxxx/PMC1033556.xml,,,,,,,
5324027,PMC1033557,PMC001xxxxxx/PMC1033557.xml,,,,,,,
5324028,PMC1033558,PMC001xxxxxx/PMC1033558.xml,,,,,,,
16562266,PMC1033559,PMC001xxxxxx/PMC1033559.xml,,,,,,,
,PMC1033560,PMC001xxxxxx/PMC1033560.xml,,,,,,,
,PMC1033561,PMC001xxxxxx/PMC1033561.xml,,,,,,,
,PMC1033562,PMC001xxxxxx/PMC1033562.xml,,,,,,,
,PMC1033563,PMC001xxxxxx/PMC1033563.xml,,,,,,,
,PMC1033564,PMC001xxxxxx/PMC1033564.xml,,,,,,,
,PMC1033565,PMC001xxxxxx/PMC1033565.xml,,,,,,,
,PMC1033566,PMC001xxxxxx/PMC1033566.xml,,,,,,,
,PMC1033567,PMC001xxxxxx/PMC1033567.xml,,,,,,,
,PMC1033568,PMC001xxxxxx/PMC1033568.xml,,,,,,,
,PMC1033569,PMC001xxxxxx/PMC1033569.xml,,,,,,,
,PMC1033570,PMC001xxxxxx/PMC1033570.xml,,,,,,,
,PMC1033571,PMC001xxxxxx/PMC1033571.xml,,,,,,,
,PMC1033572,PMC001xxxxxx/PMC1033572.xml,,,,,,,
,PMC1033573,PMC001xxxxxx/PMC1033573.xml,,,,,,,
,PMC1033574,PMC001xxxxxx/PMC1033574.xml,,,,,,,
,PMC1033575,PMC001xxxxxx/PMC1033575.xml,,,,,,,
,PMC1033576,PMC001xxxxxx/PMC1033576.xml,,,,,,,
,PMC1033577,PMC001xxxxxx/PMC1033577.xml,,,,,,,
,PMC1033578,PMC001xxxxxx/PMC1033578.xml,,,,,,,
