pmid,pmc,publisher-id,doi,File,medline,manuscript,art-access-id,publisher-manuscript,other
38592230,PMC11003459,EHP13812,10.1289/EHP13812,PMC011xxxxxx/PMC11003459.xml,,,,,
38477597,PMC11005411,mbio.00181-24,10.1128/mbio.00181-24,PMC011xxxxxx/PMC11005411.xml,,,,,
38445878,PMC11005427,mbio.03450-23,10.1128/mbio.03450-23,PMC011xxxxxx/PMC11005427.xml,,,,,
38411060,PMC11005445,mbio.00861-23,10.1128/mbio.00861-23,PMC011xxxxxx/PMC11005445.xml,,,,,
38598327,PMC11005959,EHP14968,10.1289/EHP14968,PMC011xxxxxx/PMC11005959.xml,,,,,
38598326,PMC11005960,EHP13435,10.1289/EHP13435,PMC011xxxxxx/PMC11005960.xml,,,,,
38509054,PMC11008118,mra.01125-23,10.1128/mra.01125-23,PMC011xxxxxx/PMC11008118.xml,,,,,
38488369,PMC11008129,mra.00031-24,10.1128/mra.00031-24,PMC011xxxxxx/PMC11008129.xml,,,,,
38488370,PMC11008130,mra.00677-23,10.1128/mra.00677-23,PMC011xxxxxx/PMC11008130.xml,,,,,
38426729,PMC11008146,mra.01052-23,10.1128/mra.01052-23,PMC011xxxxxx/PMC11008146.xml,,,,,
38477545,PMC11008212,mra.01087-23,10.1128/mra.01087-23,PMC011xxxxxx/PMC11008212.xml,,,,,
38602831,PMC11008708,EHP14771,10.1289/EHP14771,PMC011xxxxxx/PMC11008708.xml,,,,,
38602833,PMC11008709,EHP13807,10.1289/EHP13807,PMC011xxxxxx/PMC11008709.xml,,,,,
38602832,PMC11008710,EHP14692,10.1289/EHP14692,PMC011xxxxxx/PMC11008710.xml,,,,,
38607983,PMC11014070,EHP14978,10.1289/EHP14978,PMC011xxxxxx/PMC11014070.xml,,,,,
38607984,PMC11014073,EHP14809,10.1289/EHP14809,PMC011xxxxxx/PMC11014073.xml,,,,,
,PMC11018247,EHP14132,10.1289/EHP14132,PMC011xxxxxx/PMC11018247.xml,,,,,
38297554,PMC11018333,505667,10.1364/OE.505667,PMC011xxxxxx/PMC11018333.xml,,,,,
38571248,PMC11018334,510640,10.1364/OE.510640,PMC011xxxxxx/PMC11018334.xml,,,,,
,PMC11018335,517707,10.1364/OE.517707,PMC011xxxxxx/PMC11018335.xml,,,,,
38439318,PMC11018336,510027,10.1364/OE.510027,PMC011xxxxxx/PMC11018336.xml,,,,,
38439332,PMC11018337,514072,10.1364/OE.514072,PMC011xxxxxx/PMC11018337.xml,,,,,
,PMC11019670,518756,10.1364/BOE.518756,PMC011xxxxxx/PMC11019670.xml,,,,,
,PMC11019671,522969,10.1364/BOE.522969,PMC011xxxxxx/PMC11019671.xml,,,,,
,PMC11019672,515018,10.1364/BOE.515018,PMC011xxxxxx/PMC11019672.xml,,,,,
,PMC11019674,510022,10.1364/BOE.510022,PMC011xxxxxx/PMC11019674.xml,,,,,
,PMC11019675,517376,10.1364/BOE.517376,PMC011xxxxxx/PMC11019675.xml,,,,,
,PMC11019678,520886,10.1364/BOE.520886,PMC011xxxxxx/PMC11019678.xml,,,,,
,PMC11019679,518955,10.1364/BOE.518955,PMC011xxxxxx/PMC11019679.xml,,,,,
,PMC11019680,517678,10.1364/BOE.517678,PMC011xxxxxx/PMC11019680.xml,,,,,
,PMC11019681,516817,10.1364/BOE.516817,PMC011xxxxxx/PMC11019681.xml,,,,,
,PMC11019682,514813,10.1364/BOE.514813,PMC011xxxxxx/PMC11019682.xml,,,,,
,PMC11019683,511384,10.1364/BOE.511384,PMC011xxxxxx/PMC11019683.xml,,,,,
,PMC11019684,515623,10.1364/BOE.515623,PMC011xxxxxx/PMC11019684.xml,,,,,
,PMC11019685,519595,10.1364/BOE.519595,PMC011xxxxxx/PMC11019685.xml,,,,,
,PMC11019686,517471,10.1364/BOE.517471,PMC011xxxxxx/PMC11019686.xml,,,,,
,PMC11019687,507361,10.1364/BOE.507361,PMC011xxxxxx/PMC11019687.xml,,,,,
,PMC11019688,503868,10.1364/BOE.503868,PMC011xxxxxx/PMC11019688.xml,,,,,
,PMC11019689,513877,10.1364/BOE.513877,PMC011xxxxxx/PMC11019689.xml,,,,,
,PMC11019690,516541,10.1364/BOE.516541,PMC011xxxxxx/PMC11019690.xml,,,,,
,PMC11019692,520514,10.1364/BOE.520514,PMC011xxxxxx/PMC11019692.xml,,,,,
,PMC11019693,521047,10.1364/BOE.521047,PMC011xxxxxx/PMC11019693.xml,,,,,
,PMC11019694,516388,10.1364/BOE.516388,PMC011xxxxxx/PMC11019694.xml,,,,,
,PMC11019695,510908,10.1364/BOE.510908,PMC011xxxxxx/PMC11019695.xml,,,,,
,PMC11019696,514241,10.1364/BOE.514241,PMC011xxxxxx/PMC11019696.xml,,,,,
,PMC11019697,523715,10.1364/BOE.523715,PMC011xxxxxx/PMC11019697.xml,,,,,
,PMC11019698,510543,10.1364/BOE.510543,PMC011xxxxxx/PMC11019698.xml,,,,,
,PMC11019699,516166,10.1364/BOE.516166,PMC011xxxxxx/PMC11019699.xml,,,,,
