pmid,pmc,publisher-id,doi,File,pii,other,coden,sici,medline,manuscript,pmcid,publisher-manuscript
17140427,PMC2000478,jbiol51,10.1186/jbiol51,PMC002xxxxxx/PMC2000478.xml,,,,,,,,
17425627,PMC2000650,,10.1111/j.1365-2125.2007.02890.x,PMC002xxxxxx/PMC2000650.xml,,,,,,,,
17925837,PMC2000976,ijic200732,,PMC002xxxxxx/PMC2000976.xml,,,,,,,,
17925838,PMC2000977,ijic200734,,PMC002xxxxxx/PMC2000977.xml,,,,,,,,
17925882,PMC2000978,ijic200735,,PMC002xxxxxx/PMC2000978.xml,,,,,,,,
,PMC2000979,ijic200737,,PMC002xxxxxx/PMC2000979.xml,,,,,,,,
,PMC2001130,,,PMC002xxxxxx/PMC2001130.xml,,,,,,,,
17476827,PMC2001131,,,PMC002xxxxxx/PMC2001131.xml,,,,,,,,
17476820,PMC2001132,,,PMC002xxxxxx/PMC2001132.xml,,,,,,,,
,PMC2001133,,,PMC002xxxxxx/PMC2001133.xml,,,,,,,,
17476830,PMC2001134,,,PMC002xxxxxx/PMC2001134.xml,,,,,,,,
17476828,PMC2001135,,,PMC002xxxxxx/PMC2001135.xml,,,,,,,,
17476822,PMC2001136,,,PMC002xxxxxx/PMC2001136.xml,,,,,,,,
17476826,PMC2001137,,,PMC002xxxxxx/PMC2001137.xml,,,,,,,,
,PMC2001138,,,PMC002xxxxxx/PMC2001138.xml,,,,,,,,
17476831,PMC2001139,,,PMC002xxxxxx/PMC2001139.xml,,,,,,,,
17476829,PMC2001140,,,PMC002xxxxxx/PMC2001140.xml,,,,,,,,
17476823,PMC2001141,,,PMC002xxxxxx/PMC2001141.xml,,,,,,,,
17476819,PMC2001142,,,PMC002xxxxxx/PMC2001142.xml,,,,,,,,
17476817,PMC2001143,,,PMC002xxxxxx/PMC2001143.xml,,,,,,,,
17476824,PMC2001144,,,PMC002xxxxxx/PMC2001144.xml,,,,,,,,
,PMC2001145,,,PMC002xxxxxx/PMC2001145.xml,,,,,,,,
17476821,PMC2001146,,,PMC002xxxxxx/PMC2001146.xml,,,,,,,,
17476832,PMC2001147,,,PMC002xxxxxx/PMC2001147.xml,,,,,,,,
17476825,PMC2001148,,,PMC002xxxxxx/PMC2001148.xml,,,,,,,,
,PMC2001149,,,PMC002xxxxxx/PMC2001149.xml,,,,,,,,
17476818,PMC2001150,,,PMC002xxxxxx/PMC2001150.xml,,,,,,,,
17912633,PMC2001216,9696,10.1007/s10549-007-9696-3,PMC002xxxxxx/PMC2001216.xml,,,,,,,,
17912639,PMC2001217,9703,10.1007/s10549-007-9703-8,PMC002xxxxxx/PMC2001217.xml,,,,,,,,
17912636,PMC2001218,9700,10.1007/s10549-007-9700-y,PMC002xxxxxx/PMC2001218.xml,,,,,,,,
17333340,PMC2001219,9527,10.1007/s10549-007-9527-6,PMC002xxxxxx/PMC2001219.xml,,,,,,,,
17912640,PMC2001220,9697,10.1007/s10549-007-9697-2,PMC002xxxxxx/PMC2001220.xml,,,,,,,,
17221160,PMC2001221,9728,10.1007/s10549-007-9728-z,PMC002xxxxxx/PMC2001221.xml,,,,,,,,
17912638,PMC2001222,9704,10.1007/s10549-007-9704-7,PMC002xxxxxx/PMC2001222.xml,,,,,,,,
17912634,PMC2001223,9701,10.1007/s10549-007-9701-x,PMC002xxxxxx/PMC2001223.xml,,,,,,,,
17912635,PMC2001224,9698,10.1007/s10549-007-9698-1,PMC002xxxxxx/PMC2001224.xml,,,,,,,,
17912637,PMC2001225,9702,10.1007/s10549-007-9702-9,PMC002xxxxxx/PMC2001225.xml,,,,,,,,
,PMC2001226,9570,10.1007/s10549-007-9570-3,PMC002xxxxxx/PMC2001226.xml,,,,,,,,
17912632,PMC2001227,9699,10.1007/s10549-007-9699-0,PMC002xxxxxx/PMC2001227.xml,,,,,,,,
17367888,PMC2001268,,10.1016/j.virusres.2007.02.008,PMC002xxxxxx/PMC2001268.xml,S0168-1702(07)00048-2,,,,,,,
,PMC2001301,1476-4598-2-17,10.1186/1476-4598-2-17,PMC002xxxxxx/PMC2001301.xml,,,,,,,,
,PMC2001302,1476-4598-2-2,10.1186/1476-4598-2-2,PMC002xxxxxx/PMC2001302.xml,,,,,,,,
11686881,PMC2002067,rr54,10.1186/rr54,PMC002xxxxxx/PMC2002067.xml,,,,,,,,
11686874,PMC2002068,rr47,10.1186/rr47,PMC002xxxxxx/PMC2002068.xml,,,,,,,,
11686879,PMC2002069,rr52,10.1186/rr52,PMC002xxxxxx/PMC2002069.xml,,,,,,,,
11686882,PMC2002070,rr55,10.1186/rr55,PMC002xxxxxx/PMC2002070.xml,,,,,,,,
11686875,PMC2002071,rr48,10.1186/rr48,PMC002xxxxxx/PMC2002071.xml,,,,,,,,
11686877,PMC2002072,rr50,10.1186/rr50,PMC002xxxxxx/PMC2002072.xml,,,,,,,,
11686880,PMC2002073,rr53,10.1186/rr53,PMC002xxxxxx/PMC2002073.xml,,,,,,,,
11686878,PMC2002075,rr51,10.1186/rr51,PMC002xxxxxx/PMC2002075.xml,,,,,,,,
11686876,PMC2002076,rr49,10.1186/rr49,PMC002xxxxxx/PMC2002076.xml,,,,,,,,
17545992,PMC2002527,,10.1038/sj.embor.7400987,PMC002xxxxxx/PMC2002527.xml,7400987,,,,,,,
,PMC2002574,medhis5104-568,,PMC002xxxxxx/PMC2002574.xml,,,,,,,,
,PMC2002575,medhis5104-553,,PMC002xxxxxx/PMC2002575.xml,,,,,,,,
,PMC2002576,medhis5104-562,,PMC002xxxxxx/PMC2002576.xml,,,,,,,,
,PMC2002577,medhis5104-571,,PMC002xxxxxx/PMC2002577.xml,,,,,,,,
17932558,PMC2002578,medhis5104-527,,PMC002xxxxxx/PMC2002578.xml,,,,,,,,
,PMC2002579,medhis5104-580,,PMC002xxxxxx/PMC2002579.xml,,,,,,,,
,PMC2002580,medhis5104-569,,PMC002xxxxxx/PMC2002580.xml,,,,,,,,
,PMC2002581,medhis5104-545,,PMC002xxxxxx/PMC2002581.xml,,,,,,,,
,PMC2002582,medhis5104-578,,PMC002xxxxxx/PMC2002582.xml,,,,,,,,
,PMC2002583,medhis5104-563,,PMC002xxxxxx/PMC2002583.xml,,,,,,,,
,PMC2002584,medhis5104-572,,PMC002xxxxxx/PMC2002584.xml,,,,,,,,
,PMC2002585,medhis5104-555,,PMC002xxxxxx/PMC2002585.xml,,,,,,,,
,PMC2002586,medhis5104-564,,PMC002xxxxxx/PMC2002586.xml,,,,,,,,
,PMC2002587,medhis5104-573,,PMC002xxxxxx/PMC2002587.xml,,,,,,,,
,PMC2002588,medhis5104-547,,PMC002xxxxxx/PMC2002588.xml,,,,,,,,
,PMC2002589,medhis5104-565,,PMC002xxxxxx/PMC2002589.xml,,,,,,,,
,PMC2002590,medhis5104-557,,PMC002xxxxxx/PMC2002590.xml,,,,,,,,
