pmid,pmc,doi,manuscript,File,pii,publisher-id,coden,art-access-id,other,sici,publisher-manuscript
24429520,PMC4000028,10.1038/nature12935,NIHMS545788,PMC004xxxxxx/PMC4000028.xml,,,,,,,
,PMC4000108,10.1111/jcmm.12138,,PMC004xxxxxx/PMC4000108.xml,,,,,,,
24597656,PMC4000112,10.1111/jcmm.12201,,PMC004xxxxxx/PMC4000112.xml,,,,,,,
24467451,PMC4000123,10.1111/jcmm.12222,,PMC004xxxxxx/PMC4000123.xml,,,,,,,
24739347,PMC4000164,10.1017/S1751731114000330,,PMC004xxxxxx/PMC4000164.xml,S1751731114000330,00033,,,,,
24808989,PMC4000165,10.1002/open.201400004,,PMC004xxxxxx/PMC4000165.xml,,,,,,,
24778747,PMC4000196,10.12659/PJR.889760,,PMC004xxxxxx/PMC4000196.xml,,889760,,,,,
24584090,PMC4000237,10.1038/ni.2834,NIHMS561294,PMC004xxxxxx/PMC4000237.xml,,,,,,,
23542699,PMC4000253,10.1038/ng.2602,CAMS4064,PMC004xxxxxx/PMC4000253.xml,,,,,,,
24572357,PMC4000264,10.1038/nature13028,NIHMS555416,PMC004xxxxxx/PMC4000264.xml,,,,,,,
24328107,PMC4000271,10.1021/ac4033824,,PMC004xxxxxx/PMC4000271.xml,,,,,,,
24157580,PMC4000285,10.1038/leu.2013.313,NIHMS549970,PMC004xxxxxx/PMC4000285.xml,,,,,,,
24167016,PMC4000290,10.1002/oby.20649,NIHMS532403,PMC004xxxxxx/PMC4000290.xml,,,,,,,
24051577,PMC4000307,10.1038/jp.2013.116,NIHMS515167,PMC004xxxxxx/PMC4000307.xml,,,,,,,
24699390,PMC4000310,10.1038/ncomms4509,NIHMS570723,PMC004xxxxxx/PMC4000310.xml,,,,,,,
24627269,PMC4000323,10.1007/s11606-014-2820-2,,PMC004xxxxxx/PMC4000323.xml,,2820,,,,,
24687289,PMC4000330,10.1007/s11606-014-2819-8,,PMC004xxxxxx/PMC4000330.xml,,2819,,,,,
24790695,PMC4000468,10.1177/1941738113499721,,PMC004xxxxxx/PMC4000468.xml,,10.1177_1941738113499721,,,,,
24790696,PMC4000469,10.1177/1941738113503442,,PMC004xxxxxx/PMC4000469.xml,,10.1177_1941738113503442,,,,,
