pmid,pmc,publisher-id,doi,File,manuscript,pii,coden,art-access-id,publisher-manuscript,other,pmc-scan,medline
23445384,PMC5000391,754979,10.1080/09540121.2012.754979,PMC005xxxxxx/PMC5000391.xml,,,,,,,,
27411697,PMC5001147,0429,10.2337/dc16-0429,PMC005xxxxxx/PMC5001147.xml,,,,,,,,
27284104,PMC5001172,1666,10.2337/db15-1666,PMC005xxxxxx/PMC5001172.xml,,,,,,,,
27325287,PMC5001173,0243,10.2337/db16-0243,PMC005xxxxxx/PMC5001173.xml,,,,,,,,
27284112,PMC5001174,0432,10.2337/db16-0432,PMC005xxxxxx/PMC5001174.xml,,,,,,,,
27284108,PMC5001175,0180,10.2337/db16-0180,PMC005xxxxxx/PMC5001175.xml,,,,,,,,
27207534,PMC5001176,0629,10.2337/db15-0629,PMC005xxxxxx/PMC5001176.xml,,,,,,,,
27284109,PMC5001177,0283,10.2337/db16-0283,PMC005xxxxxx/PMC5001177.xml,,,,,,,,
27207526,PMC5001178,1465,10.2337/db15-1465,PMC005xxxxxx/PMC5001178.xml,,,,,,,,
27284110,PMC5001179,0387,10.2337/db16-0387,PMC005xxxxxx/PMC5001179.xml,,,,,,,,
27307220,PMC5001180,0407,10.2337/db16-0407,PMC005xxxxxx/PMC5001180.xml,,,,,,,,
27338739,PMC5001181,1720,10.2337/db15-1720,PMC005xxxxxx/PMC5001181.xml,,,,,,,,
27246912,PMC5001182,0867,10.2337/db15-0867,PMC005xxxxxx/PMC5001182.xml,,,,,,,,
27217489,PMC5001183,0207,10.2337/db16-0207,PMC005xxxxxx/PMC5001183.xml,,,,,,,,
27335231,PMC5001184,0044,10.2337/db16-0044,PMC005xxxxxx/PMC5001184.xml,,,,,,,,
27325286,PMC5001185,0222,10.2337/db16-0222,PMC005xxxxxx/PMC5001185.xml,,,,,,,,
27555572,PMC5001186,0025,10.2337/dbi16-0025,PMC005xxxxxx/PMC5001186.xml,,,,,,,,
27207528,PMC5001187,0004,10.2337/db16-0004,PMC005xxxxxx/PMC5001187.xml,,,,,,,,
27217488,PMC5001188,0309,10.2337/db16-0309,PMC005xxxxxx/PMC5001188.xml,,,,,,,,
27217486,PMC5001189,1721,10.2337/db15-1721,PMC005xxxxxx/PMC5001189.xml,,,,,,,,
26625876,PMC5001195,2000433,10.1302/2046-3758.412.2000433,PMC005xxxxxx/PMC5001195.xml,,,,,,,,
,PMC5001576,,10.1093/nar/gkv1400,PMC005xxxxxx/PMC5001576.xml,,,,,,,,
,PMC5001577,,10.1093/nar/gkv1401,PMC005xxxxxx/PMC5001577.xml,,,,,,,,
,PMC5001578,,10.1093/nar/gkv1402,PMC005xxxxxx/PMC5001578.xml,,,,,,,,
27137887,PMC5001588,,10.1093/nar/gkw358,PMC005xxxxxx/PMC5001588.xml,,,,,,,,
