pmid,pmc,doi,File,publisher-id,manuscript,pii,art-access-id,coden,publisher-manuscript,medline,other,pmc-scan
29910535,PMC6000811,10.1021/acs.chemmater.8b01135,PMC006xxxxxx/PMC6000811.xml,,,,,,,,,
29851117,PMC6001578,10.1002/ijgo.12467,PMC006xxxxxx/PMC6001578.xml,IJGO12467,,,,,,,,
29337541,PMC6001809,10.1021/acs.biochem.7b01282,PMC006xxxxxx/PMC6001809.xml,,,,,,,,,
29910995,PMC6001848,10.1109/JTEHM.2018.2837901,PMC006xxxxxx/PMC6001848.xml,1800513,,,,,,,,
29910536,PMC6002073,10.1021/acs.chemmater.8b01143,PMC006xxxxxx/PMC6002073.xml,,,,,,,,,
,PMC6002202,10.14814/phy2.13424,PMC006xxxxxx/PMC6002202.xml,PHY213424,,,,,,,,
29790736,PMC6002767,10.1021/jacs.8b02992,PMC006xxxxxx/PMC6002767.xml,,,,,,,,,
29733207,PMC6002778,10.1021/jacs.8b02706,PMC006xxxxxx/PMC6002778.xml,,,,,,,,,
29768011,PMC6002779,10.1021/acs.nanolett.8b00572,PMC006xxxxxx/PMC6002779.xml,,,,,,,,,
29781269,PMC6002780,10.1021/acs.nanolett.8b00809,PMC006xxxxxx/PMC6002780.xml,,,,,,,,,
29701976,PMC6002781,10.1021/acs.nanolett.8b00621,PMC006xxxxxx/PMC6002781.xml,,,,,,,,,
28937976,PMC6002962,10.1038/pr.2017.234,PMC006xxxxxx/PMC6002962.xml,,NIHMS906982,,,,,,,
,PMC6003050,10.1007/s13337-018-0444-6,PMC006xxxxxx/PMC6003050.xml,444,,,,,,,,
29937588,PMC6003383,10.1093/qjmam/hbx028,PMC006xxxxxx/PMC6003383.xml,hbx028,,,,,,,,
28991268,PMC6003419,10.1038/nbt.3978,PMC006xxxxxx/PMC6003419.xml,,NIHMS903798,,,,,,,
29937617,PMC6003607,10.1093/scipol/scx075,PMC006xxxxxx/PMC6003607.xml,scx075,,,,,,,,
29366594,PMC6003673,10.1016/j.jneuroim.2017.12.018,PMC006xxxxxx/PMC6003673.xml,S0165-5728(17)30272-2,,,,,,,,
29903808,PMC6003729,10.1128/genomeA.00405-18,PMC006xxxxxx/PMC6003729.xml,genomeA00405-18,,,,,,,,
29903823,PMC6003731,10.1128/genomeA.00524-18,PMC006xxxxxx/PMC6003731.xml,genomeA00524-18,,,,,,,,
