pmc,publisher-id,doi,File,art-access-id,pmid,pmc-scan,publisher-manuscript,medline,manuscript,other
PMC12643025,boe-16-11-4353,10.1364/BOE.577244,PMC012xxxxxx/PMC12643025.xml,,,,,,,
PMC12736412,HPJ-D-25-00069,10.1097/HP.0000000000002054,PMC012xxxxxx/PMC12736412.xml,00014,,,,,,
PMC12509284,CBE.25-08-0181,10.1187/cbe.25-08-0181,PMC012xxxxxx/PMC12509284.xml,,41051881,,,,,
PMC12513487,CBE.24-02-0072,10.1187/cbe.24-02-0072,PMC012xxxxxx/PMC12513487.xml,,40971468,,,,,
PMC12513494,CBE.25-04-0068,10.1187/cbe.25-04-0068,PMC012xxxxxx/PMC12513494.xml,,40956818,,,,,
PMC12513495,CBE.24-10-0249,10.1187/cbe.24-10-0249,PMC012xxxxxx/PMC12513495.xml,,40971467,,,,,
PMC12425464,240022,10.2337/dci24-0022,PMC012xxxxxx/PMC12425464.xml,,38905540,,,,,
PMC12673814,24-Jan-0004,10.1055/a-2370-2695,PMC012xxxxxx/PMC12673814.xml,,39038790,,,,,
PMC12339291,boe-16-8-3237,10.1364/BOE.563128,PMC012xxxxxx/PMC12339291.xml,,,,,,,
PMC12339292,boe-16-8-3172,10.1364/BOE.564398,PMC012xxxxxx/PMC12339292.xml,,,,,,,
PMC12339293,boe-16-8-3337,10.1364/BOE.567845,PMC012xxxxxx/PMC12339293.xml,,,,,,,
PMC12339294,boe-16-8-3349,10.1364/BOE.566801,PMC012xxxxxx/PMC12339294.xml,,,,,,,
PMC12339296,boe-16-8-3004,10.1364/BOE.560022,PMC012xxxxxx/PMC12339296.xml,,,,,,,
PMC12339297,boe-16-8-3395,10.1364/BOE.564589,PMC012xxxxxx/PMC12339297.xml,,,,,,,
PMC12339298,boe-16-8-3222,10.1364/BOE.566376,PMC012xxxxxx/PMC12339298.xml,,,,,,,
PMC12339299,boe-16-8-3017,10.1364/BOE.567257,PMC012xxxxxx/PMC12339299.xml,,,,,,,
PMC12339300,boe-16-8-3194,10.1364/BOE.562636,PMC012xxxxxx/PMC12339300.xml,,,,,,,
PMC12339302,boe-16-8-3255,10.1364/BOE.550936,PMC012xxxxxx/PMC12339302.xml,,,,,,,
PMC12339303,boe-16-8-3156,10.1364/BOE.565065,PMC012xxxxxx/PMC12339303.xml,,,,,,,
PMC12339304,boe-16-8-3283,10.1364/BOE.563694,PMC012xxxxxx/PMC12339304.xml,,,,,,,
PMC12339305,boe-16-8-3139,10.1364/BOE.563592,PMC012xxxxxx/PMC12339305.xml,,,,,,,
PMC12339306,boe-16-8-3084,10.1364/BOE.564030,PMC012xxxxxx/PMC12339306.xml,,,,,,,
PMC12339307,boe-16-8-3128,10.1364/BOE.566011,PMC012xxxxxx/PMC12339307.xml,,,,,,,
PMC12339308,boe-16-8-3315,10.1364/BOE.563643,PMC012xxxxxx/PMC12339308.xml,,,,,,,
PMC12339309,boe-16-8-3295,10.1364/BOE.567345,PMC012xxxxxx/PMC12339309.xml,,,,,,,
PMC12339310,boe-16-8-3424,10.1364/BOE.569911,PMC012xxxxxx/PMC12339310.xml,,,,,,,
PMC12339311,boe-16-8-3206,10.1364/BOE.558990,PMC012xxxxxx/PMC12339311.xml,,,,,,,
PMC12339312,boe-16-8-3061,10.1364/BOE.563044,PMC012xxxxxx/PMC12339312.xml,,,,,,,
PMC12339313,boe-16-8-3105,10.1364/BOE.566466,PMC012xxxxxx/PMC12339313.xml,,,,,,,
PMC12339315,boe-16-8-3047,10.1364/BOE.559663,PMC012xxxxxx/PMC12339315.xml,,,,,,,
PMC12339316,boe-16-8-3415,10.1364/BOE.569553,PMC012xxxxxx/PMC12339316.xml,,,,,,,
PMC12339319,boe-16-8-3437,10.1364/BOE.569674,PMC012xxxxxx/PMC12339319.xml,,,,,,,
PMC12339335,boe-16-8-3116,10.1364/BOE.565990,PMC012xxxxxx/PMC12339335.xml,,,,,,,
PMC12339351,boe-16-8-3378,10.1364/BOE.562137,PMC012xxxxxx/PMC12339351.xml,,,,,,,
PMC11595293,528245,10.1364/OE.528245,PMC011xxxxxx/PMC11595293.xml,,39538526,,,,,
PMC6559399,,,PMC006xxxxxx/PMC6559399.xml,,35373966,buffmedjmrmss132558-0024,,,,
PMC6559400,,,PMC006xxxxxx/PMC6559400.xml,,35373967,buffmedjmrmss132558-0008,,,,
PMC6559401,,,PMC006xxxxxx/PMC6559401.xml,,,buffmedjmrmss132558-0022,,,,
PMC6559403,,,PMC006xxxxxx/PMC6559403.xml,,35373969,buffmedjmrmss132558-0023,,,,
PMC6559404,,,PMC006xxxxxx/PMC6559404.xml,,35373970,buffmedjmrmss132558-0010,,,,
PMC6559405,,,PMC006xxxxxx/PMC6559405.xml,,35373971,buffmedjmrmss132558-0015,,,,
PMC6559406,,,PMC006xxxxxx/PMC6559406.xml,,35373972,buffmedjmrmss132558-0012,,,,
PMC6559407,,,PMC006xxxxxx/PMC6559407.xml,,35373973,buffmedjmrmss132558-0021,,,,
PMC6559408,,,PMC006xxxxxx/PMC6559408.xml,,35373974,buffmedjmrmss132558-0006,,,,
PMC6559410,,,PMC006xxxxxx/PMC6559410.xml,,35373976,buffmedjmrmss132558-0011,,,,
PMC6559411,,,PMC006xxxxxx/PMC6559411.xml,,35373977,buffmedjmrmss132558-0019,,,,
PMC6559412,,,PMC006xxxxxx/PMC6559412.xml,,35373978,buffmedjmrmss132567-0008,,,,
PMC6559413,,,PMC006xxxxxx/PMC6559413.xml,,35373979,buffmedjmrmss132567-0024b,,,,
PMC6559416,,,PMC006xxxxxx/PMC6559416.xml,,35373982,buffmedjmrmss132567-0004,,,,
PMC6559417,,,PMC006xxxxxx/PMC6559417.xml,,35373983,buffmedjmrmss132567-0016,,,,
PMC6559418,,,PMC006xxxxxx/PMC6559418.xml,,35373984,buffmedjmrmss132567-0013,,,,
PMC6559419,,,PMC006xxxxxx/PMC6559419.xml,,35373985,buffmedjmrmss132567-0009,,,,
PMC6559420,,,PMC006xxxxxx/PMC6559420.xml,,,buffmedjmrmss132567-0023,,,,
PMC6559422,,,PMC006xxxxxx/PMC6559422.xml,,,buffmedjmrmss132565-0012,,,,
PMC6559423,,,PMC006xxxxxx/PMC6559423.xml,,35373986,buffmedjmrmss132565-0005,,,,
PMC6559424,,,PMC006xxxxxx/PMC6559424.xml,,35373987,buffmedjmrmss132565-0023a,,,,
PMC6559425,,,PMC006xxxxxx/PMC6559425.xml,,35373988,buffmedjmrmss132565-0022c,,,,
PMC6559426,,,PMC006xxxxxx/PMC6559426.xml,,35373989,buffmedjmrmss132565-0022a,,,,
PMC6559427,,,PMC006xxxxxx/PMC6559427.xml,,35373990,buffmedjmrmss132565-0021,,,,
PMC6559428,,,PMC006xxxxxx/PMC6559428.xml,,35373991,buffmedjmrmss132565-0001,,,,
PMC6559429,,,PMC006xxxxxx/PMC6559429.xml,,35373992,buffmedjmrmss132565-0020,,,,
PMC6559432,,,PMC006xxxxxx/PMC6559432.xml,,35373994,buffmedjmrmss132565-0023b,,,,
PMC6559433,,,PMC006xxxxxx/PMC6559433.xml,,35373995,buffmedjmrmss132565-0022b,,,,
PMC6559434,,,PMC006xxxxxx/PMC6559434.xml,,35373996,buffmedjmrmss132565-0024b,,,,
